schedule_id,publish_date,publish_at,production_not_before,review_by,status,priority,format,type,template,hero,cast_id,working_title,topic,search_query,minutes,seed,event,expires_at,source_ids,evidence,readiness,llm_calls_max,existing_queue_id,existing_slug,source_schedule_ids,fallback,notes,publication_status,uploaded_at,release_url
dd-2026-09-13,2026-09-13,2026-09-13T18:00:00+05:30,2026-09-13T03:30:00Z,2026-09-12,planned,50,existing_episode,rhyme,,owl,ozzy,Opposites With Ozzy!,,opposites for kids,5.5,20260913,,,"[""learning""]",editorial_hypothesis,rendered_locally,0,,opposites-ozzy-2026-09-12,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Already rendered; review and upload, do not regenerate. Existing release and Telegram access remain unconfigured.",ready,,
dd-2026-09-14,2026-09-14,2026-09-14T18:00:00+05:30,2026-09-13T03:30:00Z,2026-09-12,rendered,50,template,rhyme,colors,duck,daisy,Colors With Daisy!,,colors song for toddlers,5.5,20260914,,,"[""learning"",""catalog""]",established_format,rendered_locally,0,qmtyjw1qn,colors-daisy-2026-09-14,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Rendered locally at 1080p, 30 fps, approximately 5:12, with six question rewards. Reuse the saved slug; do not regenerate. Human review/upload remains; GitHub Release and Telegram delivery are blocked by existing access/credential gaps.",ready,,
dd-2026-09-15,2026-09-15,2026-09-15T18:00:00+05:30,2026-09-14T03:30:00Z,2026-09-12,planned,50,template,rhyme,actions,bunny,taffy,Move With Taffy!,,movement song for preschool,5.5,20260915,,,"[""learning"",""catalog""]",established_format,existing_template,0,qmtyjw23y,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. First scheduled baseline for this template.,planned,,
dd-2026-09-16,2026-09-16,2026-09-16T18:00:00+05:30,2026-09-15T03:30:00Z,2026-09-12,rendered,50,template,rhyme,shapes,bear,ben,Shapes With Ben!,,shapes song for kids,5.5,20260916,,,"[""learning"",""catalog""]",established_format,rendered_locally,0,qmtyjw2jk,shapes-ben-373382,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. First scheduled baseline for this template.,ready,,https://github.com/Tejas-Sands/dreamy-discoveries/releases/tag/video-shapes-ben-373382
dd-2026-09-17,2026-09-17,2026-09-17T18:00:00+05:30,2026-09-16T03:30:00Z,2026-09-13,planned,50,template,rhyme,opposites,fox,fiona,Opposites With Fiona!,,opposites for kids,5.5,20260917,,,"[""learning"",""catalog""]",established_format,existing_template,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. First scheduled baseline for this template.,planned,,
dd-2026-09-18,2026-09-18,2026-09-18T18:00:00+05:30,2026-09-17T03:30:00Z,2026-09-14,planned,60,story,story,,bunny,taffy,Taffy Tries Saying Hello,"Taffy feels shy at Ozzy's meadow lesson. Daisy models a wave, Taffy tries one greeting, and they invite Ben to join. Teach one small first step. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",school readiness story for preschool,5.5,20260918,,,"[""quality"",""feelings""]",established_need,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
dd-2026-09-19,2026-09-19,2026-09-19T18:00:00+05:30,2026-09-18T03:30:00Z,2026-09-15,planned,40,flex,,,bunny,taffy,Taffy's Stop-and-Go Dance — trend-review candidate,,freeze dance for preschool,5.5,20260919,,,"[""freeze"",""live_trends""]",unconfirmed_candidate,evidence_and_implementation_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"New deterministic freeze-dance template with real stop cues; existing actions template is not freeze dance. Recheck search evidence 72 hours before production. This is a reserved slot, not an executable queue row. At most one script call if resolved to a story; zero for a deterministic template.",planned,,
dd-2026-09-20,2026-09-20,2026-09-20T18:00:00+05:30,2026-09-19T03:30:00Z,2026-09-16,planned,50,compilation,,,,,Sunny Meadow: Kindness and Learning — 2026-09-20,,,17,20260920,,,"[""learning""]",editorial_hypothesis,released_sources_required,0,,,"[""dd-2026-09-16"",""dd-2026-09-17"",""dd-2026-09-18""]",Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,"Use three actually finished and reviewed source episodes; do not regenerate them. Confirm topic coherence and replace the working title with an accurate contents title. Route to compile.yml, not make-video.yml. Hold if sources are missing or the combination duplicates a prior compilation.",planned,,
dd-2026-09-21,2026-09-21,2026-09-21T18:00:00+05:30,2026-09-20T03:30:00Z,2026-09-17,planned,50,template,rhyme,lullaby,turtle,tilly,"Goodnight, Grandpa Tilly",,gentle bedtime song for toddlers,5.5,20260921,,,"[""learning"",""catalog""]",established_format,existing_template,0,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,Use the existing template without seasonal claims. Validate learning examples and review actual audio/runtime. First scheduled baseline for this template. Review that Director pacing remains calm; do not promise improved sleep.,planned,,
dd-2026-09-22,2026-09-22,2026-09-22T18:00:00+05:30,2026-09-21T03:30:00Z,2026-09-18,planned,60,story,story,,bear,ben,Ben Learns the Cleanup Steps,"Ben cannot find his favorite ball. Grandpa Tilly helps him put one toy away at a time; Ben finds it and shows Daisy the routine. Use only Taffy, Ben, Daisy, Fiona, Grandpa Tilly and Professor Ozzy. Use existing backgrounds where suitable; run Director after generation. Target 5–6 minutes.",daily routines story for preschool,5.5,20260922,,,"[""cleanup"",""routines""]",established_need,free_llm_required,1,,,[],Use a distinct unpublished approved evergreen episode; otherwise skip this slot.,One publishing slot per day; human reviews and uploads.,planned,,
